theme;axis;classification;weightingFactor;justification;status;year;organizationCode;organizationName;unitCode;unitName;projectActivity;application;presentInCurrentQdd;inactiveAt;importStatus;createdBy;createdAt;id
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;212;INSTITUTO ESTADUAL DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - IEPTEC;10250000;AMPLIAÇÃO DA REDE DE QUALIFICAÇÃO PROFISSIONAL E TECNOLÓGICA DO ESTADO DO ACRE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000na0igffn6mjm7
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;212;INSTITUTO ESTADUAL DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - IEPTEC;10260000;PROMOÇÃO DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA PARA O DESENVOLVIMENTO DO ESTADO DO ACRE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000oa0igph8dcmvd
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;212;INSTITUTO ESTADUAL DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - IEPTEC;20810000;GESTÃO DA FOLHA DE PAGAMENTO DO INSTITUTO ESTADUAL DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA(IEPTEC).;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000pa0igf50ulrut
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;212;INSTITUTO ESTADUAL DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - IEPTEC;20820000;MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS E OPERACIONAIS-IEPTEC.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000qa0ig5yk3ngxr
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12900000;FOMENTO A CULTURA: LEI ALDIR BLANC.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ra0ig2t8dsolc
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12910000;FOMENTO A CULTURA: LEI PAULO GUSTAVO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000sa0ig2ten27rn
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12920000;PROMOÇÃO DE ATIVIDADES CULTURAIS TRADICIONAIS.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ta0igbqzteqg8
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12930000;FOMENTO ÀS MANIFESTAÇÕES ESPONTÂNEAS NOS ESPAÇOS PÚBLICOS EM PARCERIA COM A SOCIEDADE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ua0iguw3egv1b
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12940000;REVITALIZAÇÃO/CONSERVAÇÃO DOS ESPAÇOS CULTURAIS.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000va0igy9c1ucza
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;303;FUNDAÇÃO DE CULTURA E COMUNICAÇÃO ELIAS MANSOUR - FEM;12960000;UNIVERSALIZAÇÃO DO ACESSO AOS BENS E SERVIÇOS CULTURAIS: PASSEIO CULTURAL.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000wa0igasufikjt
